movieId,title_only,imdbId,genres
134170,Kung Fury,3472226,Action|Comedy|Fantasy|Sci-Fi
189713,BlacKkKlansman,7349662,Comedy|Crime|Drama
130520,Home,2224026,Adventure|Animation|Children|Comedy|Fantasy|Sci-Fi
178061,"I, Tonya",5580036,Drama
168254,Kong: Skull Island,3731562,Action|Adventure|Fantasy
177763,Murder on the Orient Express,3402236,Crime|Drama|Mystery
157699,Snowden,3774114,Drama|Thriller
168492,Call Me by Your Name,5726616,Drama|Romance
125916,Fifty Shades of Grey,2322441,Drama|Romance
192389,Venom,1270797,Action|Horror|Sci-Fi|Thriller
140247,The Gift,4178092,Drama|Horror
180985,The Greatest Showman,1485796,Drama
159415,Swiss Army Man,4034354,Comedy|Drama|Romance
132480,The Age of Adaline,1655441,Drama|Fantasy|Romance
187031,Jurassic World: Fallen Kingdom,4881806,Action|Adventure|Drama|Sci-Fi|Thriller
127108,Brooklyn,2381111,Drama|Romance
141866,Green Room,4062536,(no genres listed)
170875,The Fate of the Furious,4630562,Action|Crime|Drama|Thriller
171011,Planet Earth II,5491994,Documentary
136018,Black Mass,1355683,Crime|Drama
130073,Cinderella,1661199,Children|Drama|Fantasy|Romance
152017,Me Before You,2674426,Drama|Romance
162602,The Girl on the Train,3631112,Thriller
162082,Train to Busan,5700672,Action|Thriller
173941,Atomic Blonde,2406566,Thriller
161922,The Edge of Seventeen,1878870,Comedy
189203,Upgrade,6499752,Action|Comedy|Horror|Sci-Fi|Thriller
192385,A Star Is Born,1517451,Drama|Romance
143347,Aquaman,1477834,Action|Fantasy|Sci-Fi
170697,Gifted,4481414,Drama
120635,Taken 3,2446042,Action|Crime|Thriller
193944,The Ballad of Buster Scruggs,6412452,Comedy|Drama|Western
180095,Wonder,2543472,Drama
194951,Bird Box,2737304,Drama|Sci-Fi|Thriller
127098,Louis C.K.: Live at The Comedy Store,4368814,Comedy
135137,Pixels,2120120,Action|Comedy|Sci-Fi
201773,Spider-Man: Far from Home,6320628,Action|Adventure|Sci-Fi
167036,Sing,3470600,Animation|Children|Comedy
169530,Sing,4571288,Drama
156387,Sing Street,3544112,Drama
167746,The Lego Batman Movie,4116284,Action|Animation|Comedy
133645,Carol,2402927,Drama|Romance
180297,The Disaster Artist,3521126,Comedy|Drama
160271,Central Intelligence,1489889,Action|Comedy
128838,Crimson Peak,2554274,Horror
162598,Deepwater Horizon,1860357,Drama
189363,Ocean's 8,5164214,Action|Comedy|Crime|Thriller
135141,Allegiant: Part 1,3410834,Adventure|Sci-Fi
179817,Darkest Hour,4555426,Drama|War
160954,Nerve,3531824,Drama|Thriller
180497,The Post,6294822,Drama|Thriller
184471,Tomb Raider,1365519,Action|Adventure|Fantasy
131013,Get Hard,2561572,Comedy|Crime
156609,Neighbors 2: Sorority Rising,4438848,Comedy
136016,The Good Dinosaur,1979388,Adventure|Animation|Children|Comedy|Fantasy
182823,Bright,5519340,Action|Crime|Fantasy
168344,King Arthur: Legend of the Sword,1972591,Action|Adventure|Drama|Fantasy
139642,Southpaw,1798684,Action|Drama
176751,American Made,3532216,Crime|Thriller
170827,The Mummy,2345759,Action|Adventure|Fantasy|Horror|Thriller
138210,13 Hours,4172430,Drama
180045,Molly's Game,4209788,Drama
