,userId,genres_single,title,title085,title070,title050
171,3150,Comedy,4,7,4,2
173,3150,Drama,9,7,4,2
178,3150,Sci-Fi,7,7,4,2
181,3259,Action,7,6,3,2
182,3259,Adventure,3,6,3,2
186,3259,Drama,6,6,3,2
191,3259,Sci-Fi,3,6,3,2
192,3259,Thriller,6,6,3,2
194,3394,Action,4,5,3,2
198,3394,Comedy,3,5,3,2
199,3394,Crime,5,5,3,2
200,3394,Drama,5,5,3,2
202,3394,Romance,3,5,3,2
204,3484,Action,5,4,3,3
205,3484,Adventure,4,4,3,3
208,3484,Comedy,3,4,3,3
210,3484,Drama,3,4,3,3
211,3484,Fantasy,3,4,3,3
213,3484,Sci-Fi,3,4,3,3
214,3484,Thriller,3,4,3,3
215,3807,Action,5,5,4,2
216,3807,Adventure,4,5,4,2
221,3807,Drama,5,5,4,2
224,3807,Sci-Fi,5,5,4,2
225,4019,Action,6,7,6,4
226,4019,Adventure,10,7,6,4
229,4019,Comedy,6,7,6,4
231,4019,Drama,10,7,6,4
236,4019,Sci-Fi,7,7,6,4
238,4383,Action,6,5,4,3
239,4383,Adventure,5,5,4,3
242,4383,Comedy,4,5,4,3
243,4383,Drama,4,5,4,3
244,4383,Fantasy,4,5,4,3
249,4429,Action,6,6,4,3
250,4429,Adventure,7,6,4,3
253,4429,Comedy,5,6,4,3
259,4429,Thriller,4,6,4,3
260,4642,Action,4,4,4,2
261,4642,Adventure,4,4,4,2
263,4642,Comedy,4,4,4,2
265,4642,Drama,5,4,4,2
270,4688,Action,4,4,3,2
271,4688,Adventure,4,4,3,2
275,4688,Crime,3,4,3,2
276,4688,Drama,5,4,3,2
281,4688,Thriller,4,4,3,2
283,4825,Action,7,6,4,2
284,4825,Adventure,6,6,4,2
287,4825,Crime,4,6,4,2
288,4825,Drama,6,6,4,2
292,4825,Sci-Fi,4,6,4,2
296,4950,Action,5,5,4,3
297,4950,Adventure,4,5,4,3
303,4950,Sci-Fi,4,5,4,3
304,4950,Thriller,5,5,4,3
305,5017,Action,5,5,4,1
306,5017,Adventure,7,5,4,1
311,5017,Fantasy,4,5,4,1
312,5017,Sci-Fi,5,5,4,1
318,5018,Drama,6,4,3,2
321,5018,Romance,3,4,3,2
323,5018,Thriller,4,4,3,2
324,5114,Action,10,9,3,2
325,5114,Adventure,8,9,3,2
328,5114,Comedy,3,9,3,2
332,5114,Sci-Fi,9,9,3,2
333,5114,Thriller,3,9,3,2
334,5413,Action,4,4,4,1
335,5413,Adventure,4,4,4,1
338,5413,Comedy,5,4,4,1
340,5413,Drama,5,4,4,1
347,5465,Action,11,10,6,2
348,5465,Adventure,6,10,6,2
349,5465,Comedy,6,10,6,2
354,5465,Sci-Fi,10,10,6,2
357,5630,Action,4,5,4,2
358,5630,Adventure,6,5,4,2
362,5630,Drama,5,5,4,2
366,5630,Sci-Fi,5,5,4,2
368,5679,Action,6,4,4,2
369,5679,Adventure,4,4,4,2
374,5679,Drama,4,4,4,2
377,5679,Thriller,4,4,4,2
378,5694,Action,7,6,2,2
379,5694,Adventure,6,6,2,2
381,5694,Comedy,2,6,2,2
383,5694,Drama,5,6,2,2
386,5694,Mystery,2,6,2,2
387,5694,Sci-Fi,7,6,2,2
388,5694,Thriller,2,6,2,2
392,6115,Action,10,9,4,2
393,6115,Adventure,10,9,4,2
396,6115,Comedy,4,9,4,2
399,6115,Fantasy,6,9,4,2
401,6115,Sci-Fi,9,9,4,2
405,6184,Adventure,3,5,2,1
406,6184,Animation,2,5,2,1
408,6184,Comedy,5,5,2,1
410,6184,Drama,5,5,2,1
414,6497,Action,6,6,5,3
415,6497,Adventure,5,6,5,3
421,6497,Sci-Fi,6,6,5,3
423,6553,Action,5,3,3,2
424,6553,Adventure,3,3,3,2
426,6553,Comedy,3,3,3,2
430,6553,Horror,3,3,3,2
433,6553,Sci-Fi,6,3,3,2
437,6836,Adventure,7,5,3,2
440,6836,Comedy,3,5,3,2
442,6836,Fantasy,3,5,3,2
444,6836,Sci-Fi,5,5,3,2
447,7082,Action,6,8,6,2
448,7082,Adventure,8,8,6,2
453,7082,Sci-Fi,8,8,6,2
455,7439,Action,4,4,3,2
456,7439,Adventure,5,4,3,2
459,7439,Comedy,4,4,3,2
461,7439,Drama,3,4,3,2
466,8035,Action,6,3,3,1
467,8035,Adventure,5,3,3,1
472,8035,Drama,3,3,3,1
473,8035,Fantasy,3,3,3,1
475,8035,Sci-Fi,3,3,3,1
478,8215,Action,8,6,5,3
483,8215,Crime,5,6,5,3
484,8215,Drama,6,6,5,3
488,8215,Thriller,7,6,5,3
490,8225,Action,8,8,5,3
491,8225,Adventure,8,8,5,3
497,8225,Sci-Fi,5,8,5,3
499,8461,Action,5,3,3,2
505,8461,Drama,9,3,3,2
509,8461,Sci-Fi,3,3,3,2
510,8461,Thriller,3,3,3,2
511,8476,Action,10,5,5,3
514,8476,Comedy,6,5,5,3
516,8476,Drama,5,5,5,3
521,8476,Sci-Fi,5,5,5,3
522,8476,Thriller,5,5,5,3
524,8528,Action,4,6,4,3
525,8528,Adventure,6,6,4,3
527,8528,Comedy,6,6,4,3
529,8528,Drama,7,6,4,3
532,8528,Sci-Fi,4,6,4,3
535,8575,Action,7,6,3,2
536,8575,Adventure,6,6,3,2
539,8575,Drama,3,6,3,2
542,8575,Sci-Fi,6,6,3,2
544,8661,Action,4,3,3,2
545,8661,Adventure,4,3,3,2
548,8661,Comedy,3,3,3,2
549,8661,Crime,3,3,3,2
552,8661,Horror,3,3,3,2
554,8661,Sci-Fi,3,3,3,2
557,8694,Action,3,4,3,2
558,8694,Adventure,5,4,3,2
561,8694,Comedy,3,4,3,2
563,8694,Drama,6,4,3,2
564,8694,Fantasy,3,4,3,2
567,8694,Sci-Fi,4,4,3,2
569,8802,Action,10,8,4,2
570,8802,Adventure,8,8,4,2
577,8802,Sci-Fi,7,8,4,2
578,8802,Thriller,4,8,4,2
579,8917,Action,5,5,4,2
586,8917,Sci-Fi,7,5,4,2
587,8917,Thriller,4,5,4,2
588,8979,Action,10,6,5,4
589,8979,Adventure,6,6,5,4
591,8979,Crime,5,6,5,4
592,8979,Drama,5,6,5,4
597,8979,Sci-Fi,6,6,5,4
600,9222,Action,5,5,5,2
601,9222,Adventure,5,5,5,2
605,9222,Drama,5,5,5,2
609,9222,Thriller,5,5,5,2
616,9293,Comedy,4,3,3,2
618,9293,Drama,7,3,3,2
619,9293,Horror,3,3,3,2
623,9293,Thriller,3,3,3,2
624,9391,Action,7,5,4,3
625,9391,Adventure,6,5,4,3
628,9391,Comedy,4,5,4,3
630,9391,Drama,4,5,4,3
634,9391,Sci-Fi,5,5,4,3
637,9770,Action,10,10,5,3
638,9770,Adventure,10,10,5,3
642,9770,Drama,5,10,5,3
645,9770,Sci-Fi,10,10,5,3
647,9852,Action,13,11,5,5
648,9852,Adventure,11,11,5,5
649,9852,Animation,5,11,5,5
651,9852,Comedy,11,11,5,5
653,9852,Drama,5,11,5,5
654,9852,Fantasy,5,11,5,5
658,9852,Sci-Fi,5,11,5,5
659,9852,Thriller,5,11,5,5
660,10135,Action,7,6,4,2
661,10135,Adventure,7,6,4,2
666,10135,Drama,4,6,4,2
667,10135,Fantasy,6,6,4,2
670,10135,Sci-Fi,6,6,4,2
671,10135,Thriller,4,6,4,2
673,10158,Action,4,4,4,3
676,10158,Crime,4,4,4,3
679,10158,Sci-Fi,4,4,4,3
680,10158,Thriller,4,4,4,3
682,10496,Action,9,8,5,3
683,10496,Adventure,8,8,5,3
688,10496,Drama,7,8,5,3
691,10496,Sci-Fi,5,8,5,3
692,10496,Thriller,5,8,5,3
693,10585,Action,7,7,5,3
694,10585,Adventure,6,7,5,3
699,10585,Drama,7,7,5,3
702,10585,Sci-Fi,5,7,5,3
704,10630,Action,5,5,5,4
705,10630,Adventure,6,5,5,4
709,10630,Drama,5,5,5,4
713,10813,Action,9,8,3,2
714,10813,Adventure,10,8,3,2
716,10813,Children,3,8,3,2
723,10813,Sci-Fi,8,8,3,2
724,10813,Thriller,3,8,3,2
725,11052,Action,6,6,5,2
729,11052,Drama,5,6,5,2
733,11052,Sci-Fi,9,6,5,2
734,11052,Thriller,6,6,5,2
736,11056,Action,3,5,3,3
737,11056,Adventure,8,5,3,3
738,11056,Animation,3,5,3,3
739,11056,Children,3,5,3,3
740,11056,Comedy,4,5,3,3
742,11056,Drama,3,5,3,3
743,11056,Fantasy,5,5,3,3
748,11056,Sci-Fi,5,5,3,3
750,11090,Action,4,5,4,3
751,11090,Adventure,4,5,4,3
754,11090,Drama,5,5,4,3
757,11090,Sci-Fi,5,5,4,3
759,11258,Action,4,4,4,3
760,11258,Adventure,4,4,4,3
762,11258,Drama,5,4,4,3
768,11539,Action,4,4,3,3
769,11539,Adventure,3,4,3,3
770,11539,Comedy,3,4,3,3
772,11539,Drama,4,4,3,3
773,11539,Fantasy,3,4,3,3
775,11539,Thriller,3,4,3,3
777,11690,Action,7,7,3,2
778,11690,Adventure,7,7,3,2
780,11690,Drama,3,7,3,2
784,11690,Sci-Fi,7,7,3,2
785,11690,Thriller,3,7,3,2
787,11719,Action,7,7,3,2
788,11719,Adventure,7,7,3,2
790,11719,Comedy,3,7,3,2
792,11719,Fantasy,3,7,3,2
794,11719,Sci-Fi,7,7,3,2
797,12552,Action,7,7,6,4
798,12552,Adventure,7,7,6,4
802,12552,Drama,7,7,6,4
806,12552,Sci-Fi,6,7,6,4
808,12697,Action,9,8,4,3
809,12697,Adventure,8,8,4,3
812,12697,Comedy,4,8,4,3
816,12697,Sci-Fi,7,8,4,3
818,12939,Action,5,5,2,2
819,12939,Adventure,5,5,2,2
820,12939,Animation,2,5,2,2
821,12939,Children,2,5,2,2
822,12939,Comedy,5,5,2,2
823,12939,Crime,2,5,2,2
824,12939,Drama,2,5,2,2
826,12939,Sci-Fi,2,5,2,2
827,12939,Thriller,2,5,2,2
828,13134,Action,9,8,5,3
829,13134,Adventure,8,8,5,3
834,13134,Drama,6,8,5,3
837,13134,Sci-Fi,5,8,5,3
839,14201,Action,6,4,3,2
840,14201,Adventure,3,4,3,2
844,14201,Drama,3,4,3,2
848,14201,Sci-Fi,4,4,3,2
849,14201,Thriller,3,4,3,2
850,14375,Action,6,6,6,2
851,14375,Adventure,6,6,6,2
856,14375,Sci-Fi,6,6,6,2
859,14458,Action,8,7,5,3
860,14458,Adventure,5,7,5,3
863,14458,Drama,5,7,5,3
868,14458,Sci-Fi,7,7,5,3
870,15044,Action,8,7,3,2
871,15044,Adventure,5,7,3,2
876,15044,Drama,3,7,3,2
879,15044,Sci-Fi,7,7,3,2
881,15121,Action,5,4,4,2
882,15121,Adventure,4,4,4,2
885,15121,Comedy,4,4,4,2
887,15121,Drama,4,4,4,2
893,15121,Sci-Fi,6,4,4,2
894,15121,Thriller,4,4,4,2
896,15127,Action,4,4,4,3
897,15127,Adventure,8,4,4,3
898,15127,Animation,4,4,4,3
899,15127,Children,4,4,4,3
906,15204,Action,7,7,3,1
907,15204,Adventure,4,7,3,1
914,15204,Sci-Fi,7,7,3,1
915,15204,Thriller,3,7,3,1
917,15476,Action,12,7,4,3
918,15476,Adventure,9,7,4,3
920,15476,Children,4,7,4,3
921,15476,Comedy,5,7,4,3
929,15476,Sci-Fi,7,7,4,3
930,15476,Thriller,4,7,4,3
931,15699,Action,6,6,4,2
932,15699,Adventure,6,6,4,2
939,15699,Sci-Fi,4,6,4,2
940,15699,Thriller,4,6,4,2
941,15754,Action,7,7,5,2
942,15754,Adventure,5,7,5,2
946,15754,Sci-Fi,7,7,5,2
950,15830,Action,9,8,3,2
951,15830,Adventure,9,8,3,2
955,15830,Crime,3,8,3,2
956,15830,Drama,8,8,3,2
957,15830,Fantasy,3,8,3,2
961,15830,Sci-Fi,6,8,3,2
963,16044,Action,5,5,4,2
964,16044,Adventure,5,5,4,2
969,16044,Fantasy,4,5,4,2
970,16044,Sci-Fi,4,5,4,2
972,16254,Action,8,7,6,2
973,16254,Adventure,10,7,6,2
976,16254,Comedy,6,7,6,2
982,16254,Sci-Fi,7,7,6,2
983,16254,Thriller,6,7,6,2
984,16377,Action,11,8,7,3
985,16377,Adventure,9,8,7,3
990,16377,Drama,7,8,7,3
994,16377,Sci-Fi,8,8,7,3
995,16377,Thriller,8,8,7,3
997,16774,Action,11,8,6,5
998,16774,Adventure,8,8,6,5
1003,16774,Drama,7,8,6,5
1008,16774,Sci-Fi,11,8,6,5
1009,16774,Thriller,6,8,6,5
1010,16945,Action,3,3,3,2
1011,16945,Adventure,4,3,3,2
1012,16945,Comedy,3,3,3,2
1020,16945,Thriller,3,3,3,2
1022,16955,Adventure,6,6,4,3
1023,16955,Animation,4,6,4,3
1025,16955,Comedy,6,6,4,3
1027,16955,Drama,5,6,4,3
1028,16955,Fantasy,4,6,4,3
1032,17016,Action,12,10,6,4
1033,17016,Adventure,12,10,6,4
1034,17016,Animation,6,10,6,4
1036,17016,Comedy,10,10,6,4
1038,17016,Drama,9,10,6,4
1043,17016,Sci-Fi,6,10,6,4
1046,17086,Action,8,5,5,2
1047,17086,Adventure,8,5,5,2
1053,17086,Fantasy,5,5,5,2
1055,17086,Sci-Fi,5,5,5,2
1058,17160,Action,8,5,5,4
1059,17160,Adventure,5,5,5,4
1061,17160,Comedy,5,5,5,4
1063,17160,Drama,5,5,5,4
1068,17160,Sci-Fi,5,5,5,4
1070,17213,Action,9,8,7,3
1071,17213,Adventure,8,8,7,3
1074,17213,Comedy,7,8,7,3
1079,17213,Sci-Fi,7,8,7,3
1081,17664,Action,10,7,3,2
1082,17664,Adventure,8,7,3,2
1083,17664,Animation,3,7,3,2
1086,17664,Crime,3,7,3,2
1091,17664,Sci-Fi,7,7,3,2
1093,17669,Action,8,7,7,2
1094,17669,Adventure,7,7,7,2
1097,17669,Drama,8,7,7,2
1102,17669,Sci-Fi,7,7,7,2
1105,17681,Action,7,4,4,3
1106,17681,Adventure,7,4,4,3
1109,17681,Comedy,4,4,4,3
1115,17681,Sci-Fi,4,4,4,3
1117,17712,Action,6,5,4,1
1118,17712,Adventure,5,5,4,1
1122,17712,Drama,5,5,4,1
1125,17712,Sci-Fi,4,5,4,1
1127,17783,Action,4,4,3,2
1128,17783,Adventure,4,4,3,2
1130,17783,Comedy,3,4,3,2
1131,17783,Crime,3,4,3,2
1132,17783,Drama,9,4,3,2
1138,17783,Thriller,4,4,3,2
1141,17838,Adventure,2,3,2,2
1142,17838,Animation,2,3,2,2
1143,17838,Comedy,2,3,2,2
1144,17838,Drama,7,3,2,2
1145,17838,Fantasy,2,3,2,2
1147,17838,Romance,2,3,2,2
1148,17838,Thriller,3,3,2,2
1150,18071,Action,7,5,4,2
1151,18071,Adventure,5,5,4,2
1157,18071,Sci-Fi,4,5,4,2
1159,18265,Action,6,6,4,3
1160,18265,Adventure,6,6,4,3
1162,18265,Children,4,6,4,3
1163,18265,Comedy,4,6,4,3
1170,18282,Action,6,5,4,3
1171,18282,Adventure,5,5,4,3
1174,18282,Comedy,5,5,4,3
1176,18282,Fantasy,4,5,4,3
1180,18500,Action,7,4,4,4
1181,18500,Adventure,4,4,4,4
1183,18500,Comedy,4,4,4,4
1184,18500,Crime,4,4,4,4
1185,18500,Drama,4,4,4,4
1190,18500,Sci-Fi,5,4,4,4
1191,18500,Thriller,4,4,4,4
1192,18552,Action,12,7,5,3
1193,18552,Adventure,7,7,5,3
1197,18552,Drama,5,7,5,3
1202,18552,Sci-Fi,8,7,5,3
1203,18552,Thriller,5,7,5,3
1205,18580,Action,5,4,3,2
1206,18580,Adventure,4,4,3,2
1207,18580,Comedy,3,4,3,2
1208,18580,Crime,3,4,3,2
1213,18580,Sci-Fi,3,4,3,2
1215,18602,Action,2,3,2,2
1216,18602,Adventure,3,3,2,2
1217,18602,Animation,2,3,2,2
1218,18602,Comedy,2,3,2,2
1220,18602,Drama,5,3,2,2
1222,18602,Horror,2,3,2,2
1223,18602,Sci-Fi,2,3,2,2
1225,18643,Action,8,5,5,2
1226,18643,Adventure,5,5,5,2
1235,18643,Sci-Fi,6,5,5,2
1236,18643,Thriller,5,5,5,2
1237,18870,Action,2,5,2,2
1238,18870,Adventure,5,5,2,2
1239,18870,Animation,2,5,2,2
1241,18870,Comedy,5,5,2,2
1242,18870,Drama,5,5,2,2
1243,18870,Fantasy,2,5,2,2
1246,18870,Thriller,2,5,2,2
1248,18995,Action,7,5,4,2
1249,18995,Adventure,4,5,4,2
1252,18995,Drama,5,5,4,2
1256,18995,Thriller,5,5,4,2
1258,19047,Action,8,5,3,2
1259,19047,Adventure,6,5,3,2
1264,19047,Drama,3,5,3,2
1269,19047,Sci-Fi,5,5,3,2
1270,19047,Thriller,4,5,3,2
1273,19300,Action,5,4,3,2
1274,19300,Adventure,4,4,3,2
1279,19300,Drama,5,4,3,2
1282,19300,Sci-Fi,4,4,3,2
1283,19300,Thriller,3,4,3,2
1286,19325,Action,7,7,4,4
1287,19325,Adventure,7,7,4,4
1288,19325,Animation,4,7,4,4
1289,19325,Children,4,7,4,4
1290,19325,Comedy,4,7,4,4
1291,19325,Drama,5,7,4,4
1296,19379,Action,4,4,4,2
1297,19379,Adventure,5,4,4,2
1299,19379,Comedy,4,4,4,2
1303,19379,Sci-Fi,4,4,4,2
1306,19475,Action,14,10,5,3
1307,19475,Adventure,11,10,5,3
1312,19475,Drama,6,10,5,3
1313,19475,Fantasy,5,10,5,3
1316,19475,Sci-Fi,10,10,5,3
1320,19718,Action,5,5,4,4
1321,19718,Adventure,7,5,4,4
1322,19718,Animation,4,5,4,4
1324,19718,Comedy,4,5,4,4
1327,19718,Fantasy,4,5,4,4
1328,19718,Sci-Fi,4,5,4,4
1329,19718,Thriller,4,5,4,4
1331,19780,Action,8,8,5,3
1332,19780,Adventure,8,8,5,3
1339,19780,Sci-Fi,7,8,5,3
1340,19780,Thriller,5,8,5,3
1341,19886,Action,6,6,4,3
1342,19886,Adventure,6,6,4,3
1344,19886,Comedy,4,6,4,3
1346,19886,Drama,8,6,4,3
1349,19886,Sci-Fi,4,6,4,3
1351,20068,Action,5,6,5,3
1352,20068,Adventure,5,6,5,3
1353,20068,Animation,6,6,5,3
1355,20068,Comedy,8,6,5,3
1362,20179,Action,6,5,4,3
1363,20179,Adventure,5,5,4,3
1366,20179,Drama,5,5,4,3
1370,20179,Sci-Fi,4,5,4,3
1373,20302,Action,9,8,3,2
1374,20302,Adventure,8,8,3,2
1377,20302,Comedy,4,8,3,2
1380,20302,Fantasy,3,8,3,2
1383,20302,Sci-Fi,8,8,3,2
1384,20302,Thriller,3,8,3,2
1385,20323,Action,9,5,4,3
1386,20323,Adventure,4,5,4,3
1394,20323,Sci-Fi,5,5,4,3
1395,20323,Thriller,5,5,4,3
1396,20450,Action,7,6,2,1
1397,20450,Adventure,6,6,2,1
1403,20450,Horror,2,6,2,1
1404,20450,Sci-Fi,5,6,2,1
1407,20917,Action,10,7,5,3
1408,20917,Adventure,7,7,5,3
1411,20917,Comedy,7,7,5,3
1413,20917,Drama,5,7,5,3
1417,20917,Sci-Fi,5,7,5,3
1419,21002,Action,4,4,4,2
1420,21002,Adventure,6,4,4,2
1425,21002,Fantasy,4,4,4,2
1428,21002,Sci-Fi,4,4,4,2
1430,21923,Action,4,4,4,2
1431,21923,Adventure,5,4,4,2
1434,21923,Drama,4,4,4,2
1435,21923,Fantasy,4,4,4,2
1439,21923,Sci-Fi,5,4,4,2
1443,22175,Action,3,3,3,2
1444,22175,Adventure,3,3,3,2
1445,22175,Comedy,3,3,3,2
1447,22175,Drama,8,3,3,2
1451,22175,Sci-Fi,3,3,3,2
1454,22253,Action,7,6,5,3
1455,22253,Adventure,7,6,5,3
1461,22253,Fantasy,5,6,5,3
1465,22253,Sci-Fi,6,6,5,3
1466,22253,Thriller,6,6,5,3
1467,22255,Action,3,4,3,2
1469,22255,Comedy,4,4,3,2
1471,22255,Drama,6,4,3,2
1477,22349,Action,10,8,4,4
1478,22349,Adventure,9,8,4,4
1480,22349,Comedy,4,8,4,4
1482,22349,Drama,4,8,4,4
1483,22349,Fantasy,4,8,4,4
1487,22349,Sci-Fi,8,8,4,4
1488,22349,Thriller,4,8,4,4
1489,22392,Action,5,5,4,2
1490,22392,Adventure,5,5,4,2
1498,22392,Sci-Fi,5,5,4,2
1499,22392,Thriller,4,5,4,2
1500,22695,Action,8,8,4,2
1501,22695,Adventure,9,8,4,2
1503,22695,Comedy,4,8,4,2
1509,22695,Sci-Fi,7,8,4,2
1511,22779,Action,7,6,5,2
1512,22779,Adventure,6,6,5,2
1521,22779,Sci-Fi,8,6,5,2
1522,22779,Thriller,5,6,5,2
1523,22840,Action,5,5,4,3
1524,22840,Adventure,7,5,4,3
1531,22840,Sci-Fi,4,5,4,3
1532,22840,Thriller,4,5,4,3
1533,22854,Action,7,5,4,3
1534,22854,Adventure,8,5,4,3
1537,22854,Comedy,5,5,4,3
1543,22854,Sci-Fi,4,5,4,3
1545,23220,Action,4,4,4,3
1546,23220,Adventure,5,4,4,3
1549,23220,Comedy,4,4,4,3
1551,23220,Drama,4,4,4,3
1556,23453,Action,6,4,4,2
1560,23453,Comedy,4,4,4,2
1562,23453,Drama,4,4,4,2
1565,23453,Thriller,4,4,4,2
1566,23461,Action,4,4,4,2
1567,23461,Adventure,5,4,4,2
1570,23461,Comedy,4,4,4,2
1571,23461,Drama,4,4,4,2
1576,23461,Sci-Fi,7,4,4,2
1578,23737,Action,8,8,5,3
1579,23737,Adventure,5,8,5,3
1582,23737,Drama,8,8,5,3
1586,23737,Sci-Fi,6,8,5,3
1587,23737,Thriller,5,8,5,3
1589,23763,Action,3,5,3,3
1590,23763,Adventure,4,5,3,3
1593,23763,Comedy,3,5,3,3
1595,23763,Drama,6,5,3,3
1597,23763,Sci-Fi,5,5,3,3
1598,23763,Thriller,3,5,3,3
1600,24241,Action,5,3,2,2
1601,24241,Adventure,4,3,2,2
1602,24241,Animation,2,3,2,2
1603,24241,Children,2,3,2,2
1605,24241,Crime,2,3,2,2
1606,24241,Drama,3,3,2,2
1610,24241,Romance,2,3,2,2
1611,24241,Sci-Fi,3,3,2,2
1612,24241,Thriller,2,3,2,2
1613,24513,Action,7,7,7,3
1618,24513,Drama,8,7,7,3
1620,24513,Sci-Fi,7,7,7,3
1622,24523,Action,5,4,2,2
1623,24523,Adventure,6,4,2,2
1624,24523,Animation,2,4,2,2
1625,24523,Children,2,4,2,2
1626,24523,Comedy,2,4,2,2
1628,24523,Drama,4,4,2,2
1629,24523,Fantasy,2,4,2,2
1633,24523,Sci-Fi,2,4,2,2
1635,24869,Action,6,8,4,3
1636,24869,Adventure,9,8,4,3
1640,24869,Crime,4,8,4,3
1641,24869,Drama,9,8,4,3
1646,24869,Sci-Fi,8,8,4,3
1647,24869,Thriller,4,8,4,3
1648,24887,Action,5,5,4,3
1649,24887,Adventure,4,5,4,3
1653,24887,Crime,4,5,4,3
1655,24887,Fantasy,5,5,4,3
1659,25082,Action,11,7,6,4
1660,25082,Adventure,8,7,6,4
1663,25082,Comedy,6,7,6,4
1666,25082,Fantasy,6,7,6,4
1669,25082,Sci-Fi,7,7,6,4
1671,25102,Action,5,5,4,2
1672,25102,Adventure,4,5,4,2
1674,25102,Comedy,4,5,4,2
1679,25102,Sci-Fi,6,5,4,2
1681,25296,Action,4,4,3,3
1682,25296,Adventure,3,4,3,3
1685,25296,Comedy,3,4,3,3
1687,25296,Drama,3,4,3,3
1689,25296,Sci-Fi,3,4,3,3
1690,25296,Thriller,4,4,3,3
1692,25554,Action,7,5,4,4
1693,25554,Adventure,5,5,4,4
1695,25554,Comedy,5,5,4,4
1696,25554,Crime,4,5,4,4
1697,25554,Drama,4,5,4,4
1702,25554,Sci-Fi,4,5,4,4
1703,25554,Thriller,4,5,4,4
1704,25570,Action,4,6,4,4
1705,25570,Adventure,6,6,4,4
1706,25570,Drama,4,6,4,4
1711,25570,Sci-Fi,6,6,4,4
1712,25570,Thriller,4,6,4,4
1713,25847,Action,6,4,3,3
1714,25847,Adventure,6,4,3,3
1717,25847,Comedy,4,4,3,3
1719,25847,Drama,3,4,3,3
1720,25847,Fantasy,3,4,3,3
1721,25847,Horror,3,4,3,3
1723,25847,Sci-Fi,3,4,3,3
1724,25847,Thriller,4,4,3,3
1726,26316,Action,10,7,3,2
1727,26316,Adventure,7,7,3,2
1729,26316,Comedy,3,7,3,2
1732,26316,Fantasy,3,7,3,2
1734,26316,Sci-Fi,7,7,3,2
1737,26479,Action,3,3,3,2
1738,26479,Adventure,3,3,3,2
1741,26479,Comedy,3,3,3,2
1742,26479,Drama,7,3,3,2
1749,26479,Thriller,3,3,3,2
1752,26548,Action,5,5,3,2
1753,26548,Adventure,6,5,3,2
1760,26548,Horror,3,5,3,2
1761,26548,Sci-Fi,4,5,3,2
1764,26676,Action,6,6,5,2
1765,26676,Adventure,5,6,5,2
1770,26676,Sci-Fi,6,6,5,2
1772,26928,Action,8,7,5,2
1773,26928,Adventure,6,7,5,2
1776,26928,Comedy,5,7,5,2
