movieId,title_only,imdbId
183897,Isle of Dogs,5104604
185029,A Quiet Place,6644200
120799,Terminator Genisys,1340138
162578,Kubo and the Two Strings,4302938
177615,Lady Bird,4925292
158966,Captain Fantastic,3553976
194448,Green Book,6966692
132046,Tomorrowland,1964418
182715,Annihilation,2798920
161582,Hell or High Water,2582782
129354,Focus,2381941
113345,Jupiter Ascending,1617661
117895,Maze Runner: Scorch Trials,4046784
165549,Manchester by the Sea,4034228
168612,Ghost in the Shell,1219827
160980,Sully,3263904
179401,Jumanji: Welcome to the Jungle,2283362
140267,The Witch,4263482
168366,Beauty and the Beast,2771200
160438,Jason Bourne,4196776
149406,Kung Fu Panda 3,2267968
146656,Creed,3076658
163134,Your Name.,5311514
169984,Alien: Covenant,2316204
176101,Kingsman: The Golden Circle,4649466
152970,Hunt for the Wilderpeople,4698684
165551,Lion,3741834
187595,Solo: A Star Wars Story,3778644
188301,Ant-Man and the Wasp,5095030
127202,Me and Earl and the Dying Girl,2582496
122896,Pirates of the Caribbean: Dead Men Tell No Tales,1790809
189333,Mission: Impossible - Fallout,4912910
135861,Ted 2,2637276
168326,The Big Sick,5462602
158872,Sausage Party,1700841
122890,Warcraft,803096
135436,The Secret Life of Pets,2709768
161131,War Dogs,2005151
134393,Trainwreck,3152624
133419,Pitch Perfect 2,2848292
142448,Everest,2719848
175569,Wind River,5362988
162600,Miss Peregrine's Home for Peculiar Children,1935859
132796,San Andreas,2126355
122910,Captain Marvel,4154664
173145,War for the Planet of the Apes,3450958
143859,"Hail, Caesar!",475290
162350,The Magnificent Seven,2404435
160080,Ghostbusters,1289401
122902,Fantastic Four,1502712
169864,Life,5442430
166946,The Founder,4276820
159858,The Conjuring 2,3065204
173291,Valerian and the City of a Thousand Planets,2239822
142997,Hotel Transylvania 2,2510894
176419,Mother!,5109784
160718,Piper,5613056
140715,Straight Outta Compton,1398426
183869,Hereditary,7784604
183611,Game Night,2704998
136562,Steve Jobs,2080374
175661,The Hitman's Bodyguard,1959563
122898,Justice League,974015
158783,The Handmaiden,4016934
161634,Don't Breathe,4160708
135567,Independence Day: Resurgence,1628841
134170,Kung Fury,3472226
189713,BlacKkKlansman,7349662
130520,Home,2224026
178061,"I, Tonya",5580036
168254,Kong: Skull Island,3731562
177763,Murder on the Orient Express,3402236
157699,Snowden,3774114
168492,Call Me by Your Name,5726616
125916,Fifty Shades of Grey,2322441
192389,Venom,1270797
140247,The Gift,4178092
180985,The Greatest Showman,1485796
159415,Swiss Army Man,4034354
132480,The Age of Adaline,1655441
187031,Jurassic World: Fallen Kingdom,4881806
127108,Brooklyn,2381111
141866,Green Room,4062536
170875,The Fate of the Furious,4630562
171011,Planet Earth II,5491994
136018,Black Mass,1355683
130073,Cinderella,1661199
152017,Me Before You,2674426
162602,The Girl on the Train,3631112
162082,Train to Busan,5700672
173941,Atomic Blonde,2406566
161922,The Edge of Seventeen,1878870
189203,Upgrade,6499752
192385,A Star Is Born,1517451
143347,Aquaman,1477834
170697,Gifted,4481414
120635,Taken 3,2446042
193944,The Ballad of Buster Scruggs,6412452
180095,Wonder,2543472
194951,Bird Box,2737304
127098,Louis C.K.: Live at The Comedy Store,4368814
135137,Pixels,2120120
201773,Spider-Man: Far from Home,6320628
167036,Sing,3470600
169530,Sing,4571288
156387,Sing Street,3544112
167746,The Lego Batman Movie,4116284
133645,Carol,2402927
180297,The Disaster Artist,3521126
160271,Central Intelligence,1489889
128838,Crimson Peak,2554274
162598,Deepwater Horizon,1860357
189363,Ocean's 8,5164214
135141,Allegiant: Part 1,3410834
179817,Darkest Hour,4555426
160954,Nerve,3531824
180497,The Post,6294822
184471,Tomb Raider,1365519
131013,Get Hard,2561572
156609,Neighbors 2: Sorority Rising,4438848
136016,The Good Dinosaur,1979388
182823,Bright,5519340
168344,King Arthur: Legend of the Sword,1972591
139642,Southpaw,1798684
176751,American Made,3532216
170827,The Mummy,2345759
138210,13 Hours,4172430
180045,Molly's Game,4209788
