,title,movieId,genres,movie_year,title_only,userId,rating
23,The Martian (2015),134130,Adventure|Drama|Sci-Fi,2015.0,The Martian,100230,4.0
24,The Hateful Eight (2015),128360,Western,2015.0,The Hateful Eight,100230,3.5
25,Thor: Ragnarok (2017),122916,Action|Adventure|Sci-Fi,2017.0,Thor: Ragnarok,100230,5.0
26,Star Trek Beyond (2016),135569,Action|Adventure|Sci-Fi,2016.0,Star Trek Beyond,100230,4.0
27,The Shape of Water (2017),180031,Adventure|Drama|Fantasy,2017.0,The Shape of Water,100230,4.0
28,Kubo and the Two Strings (2016),162578,Adventure|Animation|Children|Fantasy,2016.0,Kubo and the Two Strings,100230,5.0
29,Creed (2015),146656,Drama,2015.0,Creed,100230,3.5
30,Pirates of the Caribbean: Dead Men Tell No Tales (2017),122896,(no genres listed),2017.0,Pirates of the Caribbean: Dead Men Tell No Tales,100230,2.0
31,Mission: Impossible - Fallout (2018),189333,Action|Adventure|Thriller,2018.0,Mission: Impossible - Fallout,100230,4.5
32,War for the Planet of the Apes (2017),173145,Action|Adventure|Drama|Sci-Fi,2017.0,War for the Planet of the Apes,100230,3.5
33,"I, Tonya (2017)",178061,Drama,2017.0,"I, Tonya",100230,4.0
34,The Girl on the Train (2016),162602,Thriller,2016.0,The Girl on the Train,100230,1.5
35,Upgrade (2018),189203,Action|Comedy|Horror|Sci-Fi|Thriller,2018.0,Upgrade,100230,3.0
36,Get Hard (2015),131013,Comedy|Crime,2015.0,Get Hard,100230,2.5
37,The Martian (2015),134130,Adventure|Drama|Sci-Fi,2015.0,The Martian,162153,3.0
38,Kingsman: The Secret Service (2015),119145,Action|Adventure|Comedy|Crime,2015.0,Kingsman: The Secret Service,162153,4.0
39,Ant-Man (2015),122900,Action|Adventure|Sci-Fi,2015.0,Ant-Man,162153,3.5
40,Thor: Ragnarok (2017),122916,Action|Adventure|Sci-Fi,2017.0,Thor: Ragnarok,162153,4.5
41,John Wick: Chapter Two (2017),168248,Action|Crime|Thriller,2017.0,John Wick: Chapter Two,162153,4.5
42,Lady Bird (2017),177615,Comedy,2017.0,Lady Bird,162153,4.5
43,Annihilation (2018),182715,Adventure|Mystery|Sci-Fi|Thriller,2018.0,Annihilation,162153,4.0
44,Manchester by the Sea (2016),165549,Drama,2016.0,Manchester by the Sea,162153,4.5
45,"Hail, Caesar! (2016)",143859,Comedy,2016.0,"Hail, Caesar!",162153,2.5
46,Molly's Game (2017),180045,Drama,2017.0,Molly's Game,162153,3.5
47,The Martian (2015),134130,Adventure|Drama|Sci-Fi,2015.0,The Martian,72265,3.0
48,Mad Max: Fury Road (2015),122882,Action|Adventure|Sci-Fi|Thriller,2015.0,Mad Max: Fury Road,72265,3.5
49,Arrival (2016),164179,Sci-Fi,2016.0,Arrival,72265,3.5
50,Kingsman: The Secret Service (2015),119145,Action|Adventure|Comedy|Crime,2015.0,Kingsman: The Secret Service,72265,3.5
51,Spotlight (2015),142488,Thriller,2015.0,Spotlight,72265,3.0
52,Moana (2016),166461,Adventure|Animation|Children|Comedy|Fantasy,2016.0,Moana,72265,3.0
53,Spider-Man: Into the Spider-Verse (2018),195159,Action|Adventure|Animation|Sci-Fi,2018.0,Spider-Man: Into the Spider-Verse,72265,4.0
54,The Handmaiden (2016),158783,Drama|Romance|Thriller,2016.0,The Handmaiden,72265,4.0
55,BlacKkKlansman (2018),189713,Comedy|Crime|Drama,2018.0,BlacKkKlansman,72265,4.0
56,Swiss Army Man (2016),159415,Comedy|Drama|Romance,2016.0,Swiss Army Man,72265,4.5
57,Carol (2015),133645,Drama|Romance,2015.0,Carol,72265,4.5
58,The Martian (2015),134130,Adventure|Drama|Sci-Fi,2015.0,The Martian,98328,3.5
59,Kingsman: The Secret Service (2015),119145,Action|Adventure|Comedy|Crime,2015.0,Kingsman: The Secret Service,98328,3.5
60,Spotlight (2015),142488,Thriller,2015.0,Spotlight,98328,4.0
61,Get Out (2017),168250,Horror,2017.0,Get Out,98328,4.5
62,Wonder Woman (2017),143355,Action|Adventure|Fantasy,2017.0,Wonder Woman,98328,3.0
63,Moana (2016),166461,Adventure|Animation|Children|Comedy|Fantasy,2016.0,Moana,98328,2.5
64,"Three Billboards Outside Ebbing, Missouri (2017)",177593,Crime|Drama,2017.0,"Three Billboards Outside Ebbing, Missouri",98328,3.5
65,Spider-Man: Into the Spider-Verse (2018),195159,Action|Adventure|Animation|Sci-Fi,2018.0,Spider-Man: Into the Spider-Verse,98328,4.0
66,Valerian and the City of a Thousand Planets (2017),173291,Action|Adventure|Sci-Fi,2017.0,Valerian and the City of a Thousand Planets,98328,2.5
67,Bird Box (2018),194951,Drama|Sci-Fi|Thriller,2018.0,Bird Box,98328,3.5
68,The Martian (2015),134130,Adventure|Drama|Sci-Fi,2015.0,The Martian,153348,2.5
69,Avengers: Infinity War - Part I (2018),122912,Action|Adventure|Sci-Fi,2018.0,Avengers: Infinity War - Part I,153348,3.0
70,Sicario (2015),139644,Crime|Drama|Mystery,2015.0,Sicario,153348,3.0
71,Spectre (2015),136020,Action|Adventure|Crime,2015.0,Spectre,153348,3.0
72,Passengers (2016),166635,Adventure|Drama|Romance|Sci-Fi,2016.0,Passengers,153348,3.0
73,Now You See Me 2 (2016),159093,Action|Comedy|Thriller,2016.0,Now You See Me 2,153348,2.5
74,Insurgent (2015),130490,Action|Sci-Fi|Thriller,2015.0,Insurgent,153348,2.5
75,Game Night (2018),183611,Action|Comedy|Crime|Horror,2018.0,Game Night,153348,1.5
76,Jurassic World: Fallen Kingdom (2018),187031,Action|Adventure|Drama|Sci-Fi|Thriller,2018.0,Jurassic World: Fallen Kingdom,153348,2.0
77,Atomic Blonde (2017),173941,Thriller,2017.0,Atomic Blonde,153348,3.0
78,The Post (2017),180497,Drama|Thriller,2017.0,The Post,153348,2.0
79,The Martian (2015),134130,Adventure|Drama|Sci-Fi,2015.0,The Martian,22840,5.0
80,Ex Machina (2015),115713,Drama|Sci-Fi|Thriller,2015.0,Ex Machina,22840,3.5
81,Jurassic World (2015),117529,Action|Adventure|Drama|Sci-Fi|Thriller,2015.0,Jurassic World,22840,3.5
82,Spotlight (2015),142488,Thriller,2015.0,Spotlight,22840,4.5
83,Mission: Impossible - Rogue Nation (2015),111781,Action|Adventure|Thriller,2015.0,Mission: Impossible - Rogue Nation,22840,3.5
84,Untitled Spider-Man Reboot (2017),122926,Action|Adventure|Fantasy,2017.0,Untitled Spider-Man Reboot,22840,3.5
85,Moana (2016),166461,Adventure|Animation|Children|Comedy|Fantasy,2016.0,Moana,22840,3.5
86,Coco (2017),177765,Adventure|Animation|Children,2017.0,Coco,22840,4.0
87,Kung Fu Panda 3 (2016),149406,Action|Adventure|Animation,2016.0,Kung Fu Panda 3,22840,3.0
88,Ghostbusters (2016),160080,Action|Comedy|Horror|Sci-Fi,2016.0,Ghostbusters,22840,2.5
89,The Martian (2015),134130,Adventure|Drama|Sci-Fi,2015.0,The Martian,61624,3.5
90,Ex Machina (2015),115713,Drama|Sci-Fi|Thriller,2015.0,Ex Machina,61624,4.5
91,Spotlight (2015),142488,Thriller,2015.0,Spotlight,61624,3.5
92,Mission: Impossible - Rogue Nation (2015),111781,Action|Adventure|Thriller,2015.0,Mission: Impossible - Rogue Nation,61624,2.0
93,Room (2015),140174,Drama,2015.0,Room,61624,4.5
94,Passengers (2016),166635,Adventure|Drama|Romance|Sci-Fi,2016.0,Passengers,61624,3.0
95,X-Men: Apocalypse (2016),122924,Action|Adventure|Fantasy|Sci-Fi,2016.0,X-Men: Apocalypse,61624,1.5
96,Star Trek Beyond (2016),135569,Action|Adventure|Sci-Fi,2016.0,Star Trek Beyond,61624,2.5
97,John Wick: Chapter Two (2017),168248,Action|Crime|Thriller,2017.0,John Wick: Chapter Two,61624,2.0
98,Tomorrowland (2015),132046,Action|Adventure|Children|Mystery|Sci-Fi,2015.0,Tomorrowland,61624,2.0
99,The Witch (2015),140267,Horror,2015.0,The Witch,61624,3.5
100,Ant-Man and the Wasp (2018),188301,Action|Adventure|Comedy|Fantasy|Sci-Fi,2018.0,Ant-Man and the Wasp,61624,1.5
101,Me and Earl and the Dying Girl (2015),127202,Drama,2015.0,Me and Earl and the Dying Girl,61624,4.0
102,Warcraft (2016),122890,Action|Adventure|Fantasy,2016.0,Warcraft,61624,2.0
103,"Hail, Caesar! (2016)",143859,Comedy,2016.0,"Hail, Caesar!",61624,3.5
104,Fantastic Four (2015),122902,Action|Adventure|Fantasy|Sci-Fi,2015.0,Fantastic Four,61624,0.5
105,Green Room (2015),141866,(no genres listed),2015.0,Green Room,61624,4.0
106,Black Mass (2015),136018,Crime|Drama,2015.0,Black Mass,61624,3.0
107,The Edge of Seventeen (2016),161922,Comedy,2016.0,The Edge of Seventeen,61624,3.5
108,Bird Box (2018),194951,Drama|Sci-Fi|Thriller,2018.0,Bird Box,61624,1.5
109,Crimson Peak (2015),128838,Horror,2015.0,Crimson Peak,61624,2.0
110,American Made (2017),176751,Crime|Thriller,2017.0,American Made,61624,2.0
111,The Martian (2015),134130,Adventure|Drama|Sci-Fi,2015.0,The Martian,97074,4.0
112,Moana (2016),166461,Adventure|Animation|Children|Comedy|Fantasy,2016.0,Moana,97074,3.5
113,Bridge of Spies (2015),143385,Drama|Thriller,2015.0,Bridge of Spies,97074,3.5
114,Sully (2016),160980,Drama,2016.0,Sully,97074,3.0
115,The Secret Life of Pets (2016),135436,Animation|Comedy,2016.0,The Secret Life of Pets,97074,3.0
116,Everest (2015),142448,Adventure|Drama|Thriller,2015.0,Everest,97074,4.0
117,War for the Planet of the Apes (2017),173145,Action|Adventure|Drama|Sci-Fi,2017.0,War for the Planet of the Apes,97074,3.5
118,Valerian and the City of a Thousand Planets (2017),173291,Action|Adventure|Sci-Fi,2017.0,Valerian and the City of a Thousand Planets,97074,3.5
119,Hotel Transylvania 2 (2015),142997,Animation|Comedy,2015.0,Hotel Transylvania 2,97074,3.5
120,Kong: Skull Island (2017),168254,Action|Adventure|Fantasy,2017.0,Kong: Skull Island,97074,3.5
121,Call Me by Your Name (2017),168492,Drama|Romance,2017.0,Call Me by Your Name,97074,1.5
122,Venom (2018),192389,Action|Horror|Sci-Fi|Thriller,2018.0,Venom,97074,2.5
123,Wonder (2017),180095,Drama,2017.0,Wonder,97074,3.5
124,Bright (2017),182823,Action|Crime|Fantasy,2017.0,Bright,97074,3.0
125,American Made (2017),176751,Crime|Thriller,2017.0,American Made,97074,3.5
126,The Martian (2015),134130,Adventure|Drama|Sci-Fi,2015.0,The Martian,11090,3.5
127,Deadpool (2016),122904,Action|Adventure|Comedy|Sci-Fi,2016.0,Deadpool,11090,3.5
128,Avengers: Age of Ultron (2015),122892,Action|Adventure|Sci-Fi,2015.0,Avengers: Age of Ultron,11090,3.0
129,Avengers: Infinity War - Part I (2018),122912,Action|Adventure|Sci-Fi,2018.0,Avengers: Infinity War - Part I,11090,4.0
130,The Hateful Eight (2015),128360,Western,2015.0,The Hateful Eight,11090,3.5
131,Blade Runner 2049 (2017),176371,Sci-Fi,2017.0,Blade Runner 2049,11090,4.0
132,Hidden Figures (2016),166643,Drama,2016.0,Hidden Figures,11090,3.5
133,Hell or High Water (2016),161582,Crime|Drama,2016.0,Hell or High Water,11090,3.5
134,Game Night (2018),183611,Action|Comedy|Crime|Horror,2018.0,Game Night,11090,3.5
135,Brooklyn (2015),127108,Drama|Romance,2015.0,Brooklyn,11090,4.0
136,The Ballad of Buster Scruggs (2018),193944,Comedy|Drama|Western,2018.0,The Ballad of Buster Scruggs,11090,4.0
137,The Martian (2015),134130,Adventure|Drama|Sci-Fi,2015.0,The Martian,128243,5.0
138,Kingsman: The Secret Service (2015),119145,Action|Adventure|Comedy|Crime,2015.0,Kingsman: The Secret Service,128243,4.5
139,"Big Short, The (2015)",148626,Drama,2015.0,"Big Short, The",128243,4.0
140,Logan (2017),168252,Action|Sci-Fi,2017.0,Logan,128243,4.0
141,Ant-Man (2015),122900,Action|Adventure|Sci-Fi,2015.0,Ant-Man,128243,4.5
142,The Nice Guys (2016),158238,Crime|Mystery|Thriller,2016.0,The Nice Guys,128243,4.0
143,Star Trek Beyond (2016),135569,Action|Adventure|Sci-Fi,2016.0,Star Trek Beyond,128243,3.5
144,Terminator Genisys (2015),120799,Action|Adventure|Sci-Fi|Thriller,2015.0,Terminator Genisys,128243,2.0
145,Sausage Party (2016),158872,Animation|Comedy,2016.0,Sausage Party,128243,3.5
146,Trainwreck (2015),134393,Comedy|Romance,2015.0,Trainwreck,128243,3.0
147,The Martian (2015),134130,Adventure|Drama|Sci-Fi,2015.0,The Martian,31082,3.5
148,Hidden Figures (2016),166643,Drama,2016.0,Hidden Figures,31082,3.5
149,Batman v Superman: Dawn of Justice (2016),136864,Action|Adventure|Fantasy|Sci-Fi,2016.0,Batman v Superman: Dawn of Justice,31082,1.5
150,Furious 7 (2015),130634,Action|Crime|Thriller,2015.0,Furious 7,31082,3.5
151,Isle of Dogs (2018),183897,Animation|Comedy,2018.0,Isle of Dogs,31082,3.5
152,Manchester by the Sea (2016),165549,Drama,2016.0,Manchester by the Sea,31082,3.5
153,Beauty and the Beast (2017),168366,Fantasy|Romance,2017.0,Beauty and the Beast,31082,2.5
154,Piper (2016),160718,Animation,2016.0,Piper,31082,4.5
155,Steve Jobs (2015),136562,Drama,2015.0,Steve Jobs,31082,4.5
156,The Age of Adaline (2015),132480,Drama|Fantasy|Romance,2015.0,The Age of Adaline,31082,3.0
157,American Made (2017),176751,Crime|Thriller,2017.0,American Made,31082,3.5
158,The Martian (2015),134130,Adventure|Drama|Sci-Fi,2015.0,The Martian,8694,3.5
159,Deadpool (2016),122904,Action|Adventure|Comedy|Sci-Fi,2016.0,Deadpool,8694,4.0
160,Inside Out (2015),134853,Adventure|Animation|Children|Comedy|Drama|Fantasy,2015.0,Inside Out,8694,3.5
161,Ex Machina (2015),115713,Drama|Sci-Fi|Thriller,2015.0,Ex Machina,8694,4.0
162,Star Wars: Episode VII - The Force Awakens (2015),122886,Action|Adventure|Fantasy|Sci-Fi|IMAX,2015.0,Star Wars: Episode VII - The Force Awakens,8694,4.0
163,Kingsman: The Secret Service (2015),119145,Action|Adventure|Comedy|Crime,2015.0,Kingsman: The Secret Service,8694,4.0
164,The Age of Adaline (2015),132480,Drama|Fantasy|Romance,2015.0,The Age of Adaline,8694,3.0
165,Green Room (2015),141866,(no genres listed),2015.0,Green Room,8694,2.0
166,Carol (2015),133645,Drama|Romance,2015.0,Carol,8694,3.0
167,Nerve (2016),160954,Drama|Thriller,2016.0,Nerve,8694,2.0
168,The Martian (2015),134130,Adventure|Drama|Sci-Fi,2015.0,The Martian,94239,4.5
169,Star Wars: Episode VII - The Force Awakens (2015),122886,Action|Adventure|Fantasy|Sci-Fi|IMAX,2015.0,Star Wars: Episode VII - The Force Awakens,94239,3.5
170,Arrival (2016),164179,Sci-Fi,2016.0,Arrival,94239,2.5
171,The Hunger Games: Mockingjay - Part 2 (2015),135133,Adventure|Sci-Fi,2015.0,The Hunger Games: Mockingjay - Part 2,94239,1.5
172,The Man from U.N.C.L.E. (2015),138036,Action|Adventure|Comedy,2015.0,The Man from U.N.C.L.E.,94239,1.5
173,Suicide Squad (2016),135536,Action|Crime|Sci-Fi,2016.0,Suicide Squad,94239,2.5
174,Isle of Dogs (2018),183897,Animation|Comedy,2018.0,Isle of Dogs,94239,4.0
175,Creed (2015),146656,Drama,2015.0,Creed,94239,4.0
176,Lion (2016),165551,Drama,2016.0,Lion,94239,4.0
177,Ant-Man and the Wasp (2018),188301,Action|Adventure|Comedy|Fantasy|Sci-Fi,2018.0,Ant-Man and the Wasp,94239,3.0
178,Ted 2 (2015),135861,Comedy,2015.0,Ted 2,94239,3.0
179,The Magnificent Seven (2016),162350,Action|Western,2016.0,The Magnificent Seven,94239,3.0
180,Valerian and the City of a Thousand Planets (2017),173291,Action|Adventure|Sci-Fi,2017.0,Valerian and the City of a Thousand Planets,94239,4.5
181,Steve Jobs (2015),136562,Drama,2015.0,Steve Jobs,94239,2.5
182,Tomb Raider (2018),184471,Action|Adventure|Fantasy,2018.0,Tomb Raider,94239,3.0
183,The Martian (2015),134130,Adventure|Drama|Sci-Fi,2015.0,The Martian,152917,4.0
184,Arrival (2016),164179,Sci-Fi,2016.0,Arrival,152917,3.5
185,The Revenant (2015),139385,Adventure|Drama,2015.0,The Revenant,152917,4.0
186,Ant-Man (2015),122900,Action|Adventure|Sci-Fi,2015.0,Ant-Man,152917,4.0
187,Deadpool 2 (2018),187593,Action|Comedy|Sci-Fi,2018.0,Deadpool 2,152917,4.0
188,The Intern (2015),140110,Comedy,2015.0,The Intern,152917,4.0
189,Hidden Figures (2016),166643,Drama,2016.0,Hidden Figures,152917,4.0
190,Chappie (2015),120466,Action|Thriller,2015.0,Chappie,152917,4.0
191,Furious 7 (2015),130634,Action|Crime|Thriller,2015.0,Furious 7,152917,3.5
192,Insurgent (2015),130490,Action|Sci-Fi|Thriller,2015.0,Insurgent,152917,3.5
193,The Jungle Book (2016),137857,Adventure|Drama|Fantasy,2016.0,The Jungle Book,152917,4.0
194,Tomorrowland (2015),132046,Action|Adventure|Children|Mystery|Sci-Fi,2015.0,Tomorrowland,152917,4.0
195,Jupiter Ascending (2015),113345,Action|Adventure|Sci-Fi,2015.0,Jupiter Ascending,152917,3.5
196,Home (2015),130520,Adventure|Animation|Children|Comedy|Fantasy|Sci-Fi,2015.0,Home,152917,4.0
197,The Age of Adaline (2015),132480,Drama|Fantasy|Romance,2015.0,The Age of Adaline,152917,4.0
198,Cinderella (2015),130073,Children|Drama|Fantasy|Romance,2015.0,Cinderella,152917,4.5
199,Central Intelligence (2016),160271,Action|Comedy,2016.0,Central Intelligence,152917,3.5
200,The Martian (2015),134130,Adventure|Drama|Sci-Fi,2015.0,The Martian,119739,4.0
201,The Hunger Games: Mockingjay - Part 2 (2015),135133,Adventure|Sci-Fi,2015.0,The Hunger Games: Mockingjay - Part 2,119739,2.0
202,Minions (2015),135887,Adventure|Animation|Children|Comedy,2015.0,Minions,119739,3.0
203,Insurgent (2015),130490,Action|Sci-Fi|Thriller,2015.0,Insurgent,119739,1.0
204,Manchester by the Sea (2016),165549,Drama,2016.0,Manchester by the Sea,119739,4.5
205,Pirates of the Caribbean: Dead Men Tell No Tales (2017),122896,(no genres listed),2017.0,Pirates of the Caribbean: Dead Men Tell No Tales,119739,2.5
206,"Hail, Caesar! (2016)",143859,Comedy,2016.0,"Hail, Caesar!",119739,3.5
207,The Hitman's Bodyguard (2017),175661,Action|Comedy,2017.0,The Hitman's Bodyguard,119739,3.0
208,Train to Busan (2016),162082,Action|Thriller,2016.0,Train to Busan,119739,4.0
209,Allegiant: Part 1 (2016),135141,Adventure|Sci-Fi,2016.0,Allegiant: Part 1,119739,1.0
210,The Martian (2015),134130,Adventure|Drama|Sci-Fi,2015.0,The Martian,49000,4.0
211,Ex Machina (2015),115713,Drama|Sci-Fi|Thriller,2015.0,Ex Machina,49000,3.5
212,Kingsman: The Secret Service (2015),119145,Action|Adventure|Comedy|Crime,2015.0,Kingsman: The Secret Service,49000,2.0
213,Get Out (2017),168250,Horror,2017.0,Get Out,49000,3.5
214,Passengers (2016),166635,Adventure|Drama|Romance|Sci-Fi,2016.0,Passengers,49000,3.0
215,Hidden Figures (2016),166643,Drama,2016.0,Hidden Figures,49000,4.0
216,Spy (2015),134368,Action|Comedy|Crime,2015.0,Spy,49000,3.0
217,Insurgent (2015),130490,Action|Sci-Fi|Thriller,2015.0,Insurgent,49000,3.0
218,The Shape of Water (2017),180031,Adventure|Drama|Fantasy,2017.0,The Shape of Water,49000,3.5
219,The Jungle Book (2016),137857,Adventure|Drama|Fantasy,2016.0,The Jungle Book,49000,4.5
220,A Quiet Place (2018),185029,Drama|Horror|Thriller,2018.0,A Quiet Place,49000,3.5
221,Lady Bird (2017),177615,Comedy,2017.0,Lady Bird,49000,4.0
222,Mission: Impossible - Fallout (2018),189333,Action|Adventure|Thriller,2018.0,Mission: Impossible - Fallout,49000,3.5
223,Everest (2015),142448,Adventure|Drama|Thriller,2015.0,Everest,49000,2.5
224,The Martian (2015),134130,Adventure|Drama|Sci-Fi,2015.0,The Martian,27250,4.0
225,Mad Max: Fury Road (2015),122882,Action|Adventure|Sci-Fi|Thriller,2015.0,Mad Max: Fury Road,27250,4.0
226,Get Out (2017),168250,Horror,2017.0,Get Out,27250,4.0
227,Dunkirk (2017),174055,Action|Drama|Thriller|War,2017.0,Dunkirk,27250,2.0
228,La La Land (2016),164909,Comedy|Drama|Romance,2016.0,La La Land,27250,1.0
229,"Three Billboards Outside Ebbing, Missouri (2017)",177593,Crime|Drama,2017.0,"Three Billboards Outside Ebbing, Missouri",27250,4.0
230,Spectre (2015),136020,Action|Adventure|Crime,2015.0,Spectre,27250,3.0
231,Hidden Figures (2016),166643,Drama,2016.0,Hidden Figures,27250,4.0
232,The Conjuring 2 (2016),159858,Horror,2016.0,The Conjuring 2,27250,4.0
233,Train to Busan (2016),162082,Action|Thriller,2016.0,Train to Busan,27250,4.0
234,The Martian (2015),134130,Adventure|Drama|Sci-Fi,2015.0,The Martian,84290,4.0
235,Guardians of the Galaxy 2 (2017),122918,Action|Adventure|Sci-Fi,2017.0,Guardians of the Galaxy 2,84290,3.0
236,Doctor Strange (2016),122922,Action|Adventure|Sci-Fi,2016.0,Doctor Strange,84290,3.5
237,Finding Dory (2016),157296,Adventure|Animation|Comedy,2016.0,Finding Dory,84290,2.0
238,Passengers (2016),166635,Adventure|Drama|Romance|Sci-Fi,2016.0,Passengers,84290,3.5
239,Hacksaw Ridge (2016),163645,Drama|War,2016.0,Hacksaw Ridge,84290,3.5
240,John Wick: Chapter Two (2017),168248,Action|Crime|Thriller,2017.0,John Wick: Chapter Two,84290,2.5
241,The Shape of Water (2017),180031,Adventure|Drama|Fantasy,2017.0,The Shape of Water,84290,4.0
242,Isle of Dogs (2018),183897,Animation|Comedy,2018.0,Isle of Dogs,84290,4.5
243,Your Name. (2016),163134,Animation|Drama|Fantasy|Romance,2016.0,Your Name.,84290,3.5
244,Ant-Man and the Wasp (2018),188301,Action|Adventure|Comedy|Fantasy|Sci-Fi,2018.0,Ant-Man and the Wasp,84290,3.0
245,The Martian (2015),134130,Adventure|Drama|Sci-Fi,2015.0,The Martian,5018,3.0
246,Deadpool (2016),122904,Action|Adventure|Comedy|Sci-Fi,2016.0,Deadpool,5018,4.5
247,Spotlight (2015),142488,Thriller,2015.0,Spotlight,5018,5.0
248,Bridge of Spies (2015),143385,Drama|Thriller,2015.0,Bridge of Spies,5018,3.5
249,La La Land (2016),164909,Comedy|Drama|Romance,2016.0,La La Land,5018,4.5
250,Split (2017),166534,Drama|Horror|Thriller,2017.0,Split,5018,4.5
251,It (2017),175303,Horror,2017.0,It,5018,4.0
252,Maze Runner: Scorch Trials (2015),117895,Action|Thriller,2015.0,Maze Runner: Scorch Trials,5018,2.0
253,Call Me by Your Name (2017),168492,Drama|Romance,2017.0,Call Me by Your Name,5018,4.0
254,The Age of Adaline (2015),132480,Drama|Fantasy|Romance,2015.0,The Age of Adaline,5018,3.0
255,The Martian (2015),134130,Adventure|Drama|Sci-Fi,2015.0,The Martian,25570,4.0
256,Guardians of the Galaxy 2 (2017),122918,Action|Adventure|Sci-Fi,2017.0,Guardians of the Galaxy 2,25570,3.5
257,Untitled Spider-Man Reboot (2017),122926,Action|Adventure|Fantasy,2017.0,Untitled Spider-Man Reboot,25570,4.0
258,10 Cloverfield Lane (2016),152077,Thriller,2016.0,10 Cloverfield Lane,25570,3.0
259,Black Panther (2017),122906,Action|Adventure|Sci-Fi,2017.0,Black Panther,25570,4.0
260,Passengers (2016),166635,Adventure|Drama|Romance|Sci-Fi,2016.0,Passengers,25570,2.5
261,Mother! (2017),176419,Drama|Horror|Mystery|Thriller,2017.0,Mother!,25570,4.5
262,Independence Day: Resurgence (2016),135567,Action|Adventure|Sci-Fi,2016.0,Independence Day: Resurgence,25570,2.0
263,Atomic Blonde (2017),173941,Thriller,2017.0,Atomic Blonde,25570,3.0
264,Bird Box (2018),194951,Drama|Sci-Fi|Thriller,2018.0,Bird Box,25570,3.5
265,The Martian (2015),134130,Adventure|Drama|Sci-Fi,2015.0,The Martian,45566,4.0
266,Deadpool (2016),122904,Action|Adventure|Comedy|Sci-Fi,2016.0,Deadpool,45566,1.5
267,Captain America: Civil War (2016),122920,Action|Sci-Fi|Thriller,2016.0,Captain America: Civil War,45566,2.0
268,Jurassic World (2015),117529,Action|Adventure|Drama|Sci-Fi|Thriller,2015.0,Jurassic World,45566,3.0
269,The Hunger Games: Mockingjay - Part 2 (2015),135133,Adventure|Sci-Fi,2015.0,The Hunger Games: Mockingjay - Part 2,45566,4.0
270,Mission: Impossible - Rogue Nation (2015),111781,Action|Adventure|Thriller,2015.0,Mission: Impossible - Rogue Nation,45566,4.0
271,Fantastic Beasts and Where to Find Them (2016),135143,Fantasy,2016.0,Fantastic Beasts and Where to Find Them,45566,3.0
272,"Three Billboards Outside Ebbing, Missouri (2017)",177593,Crime|Drama,2017.0,"Three Billboards Outside Ebbing, Missouri",45566,4.0
273,Batman v Superman: Dawn of Justice (2016),136864,Action|Adventure|Fantasy|Sci-Fi,2016.0,Batman v Superman: Dawn of Justice,45566,1.0
274,Jason Bourne (2016),160438,Action,2016.0,Jason Bourne,45566,1.0
275,War Dogs (2016),161131,Comedy,2016.0,War Dogs,45566,3.0
